TimeInterval,MSD_mean,Alpha_t
60,453092.6360527446,1.3077568489266145
120,1430457.6771106399,1.655828253579248
180,2881468.6967431875,1.9946129512217468
240,4716354.7684670435,1.8483848740443136
300,6935586.484293072,1.712411005444686
360,9592453.424379604,1.7856178301341927
420,12784140.174225379,1.797966945699713
480,16280583.450035349,1.7179182740058394
540,19802295.60553465,1.5511187855632897
600,23020719.755157348,1.3502803668486365
660,25900468.47275145,1.1632007312282724
720,28497917.52667756,1.0119222991233272
780,30764664.092178773,0.8974717299471564
840,32730030.51370911,0.8210951437515916
900,34561465.7323606,0.7911986661933952
960,36332844.33806358,0.7848973473321337
1020,38176317.14767654,0.7542339329831691
1080,39884789.409507625,0.7020257822427425
1140,41309145.386352524,0.6571211050983266
1200,42518207.03367827,0.6425872430253605
1260,43990812.89537447,0.6476489567068882
1320,45387589.41016959,0.6276937276197145
1380,46680005.994866826,0.5377825975106134
1440,47566107.92022713,0.43065195222004604
1500,48318638.59751585,0.3559298239590589
1560,48817283.46732252,0.33120460576137134
1620,49568097.20779522,0.2737979550930447
1680,49944689.40308714,0.1358143875251585
1740,50359983.01842167,0.023896247790162306
