Time,Real_MSD,Real_Alpha,Fit_MSD,Fit_Alpha
60,904306.2395557532,1.2668403753838406,390290.1863863203,1.5545742662937245
120,2717712.575397628,1.6238212825288478,1557716.1222110197,1.9564135310751922
180,5532943.089023319,1.9969773214119328,3494179.206746599,2.3320534409233638
240,9068668.053686686,1.9353706947508655,6183237.111190689,2.106742329390457
300,13617629.772022434,1.8930467285561505,9603763.48347071,1.8916805580871383
360,19702798.625987653,2.0503869946894824,13728003.101827458,1.924276430211144
420,27754786.93184194,2.110618502159568,18519767.46997086,1.9193483463369034
480,36820904.1211002,2.0113050589911268,23938257.797479298,1.902177104908759
540,45911563.50177927,1.7941210745640177,29932202.62804455,1.8781648934848079
600,54708378.98357687,1.5586864738632755,36443302.883986376,1.848668194403004
660,62828841.86391806,1.3643767414959456,43410012.57464838,1.814176784554732
720,70348645.08767916,1.2065814100402577,50762590.14032171,1.7748750598410652
780,76972512.4602701,1.0888357802449349,58420058.79328359,1.7303173141951191
840,83134965.56753772,1.0104988121406393,66306941.29857098,1.6806428425231843
900,88930399.87120299,0.9639104855790492,74332001.2150919,1.626002752408823
960,94690509.27943924,0.92186410515788,82406830.2305534,1.5660505793707387
1020,100002976.93076304,0.8742118856843035,90456446.96015619,1.5011051323760967
1080,105087603.2883904,0.8511502285186623,98372962.92066692,1.430908244566666
1140,109600776.96882533,0.8460039108680064,106083066.83273844,1.3552900351603228
1200,114644155.97425312,0.8550797787319482,113504862.6085895,1.2750151518281996
1260,119957203.20263983,0.869884229397428,120543208.75910692,1.1896672748735
1320,124381480.16041145,0.8436343193652363,127157370.81745921,1.0993500417372104
1380,129374281.369846,0.7784157157525158,133257488.1866426,1.0043866025783075
1440,133447211.58185072,0.6896429819184107,138788336.37089697,0.904114810504467
1500,136961856.34785447,0.5655607654433084,143721421.04413384,0.7992690776129052
1560,139855723.4599963,0.4554825093094621,147984085.35110396,0.6896391086227425
1620,141653614.64294398,0.41694674872945825,151573464.58709705,0.5744457204659739
1680,143813955.92531985,0.4256244785526633,154455300.1610598,0.45408165189013516
1740,146010472.7655813,0.43789458560280536,156592551.45778486,0.32748570434659996
1800,148729364.04498437,0.39388630081441534,158006603.33743715,0.19443553566685523
1860,150299756.34411946,0.33628209758859384,158665979.29876038,0.054699682622811
1920,151505637.70231253,0.2905972729486166,158580982.87946564,-0.09358319549642147
1980,152444809.51286516,0.24593282580559617,157770162.09730518,-0.25078280538963327
2040,154490006.6442584,0.22619855356401786,156212577.31267664,-0.41831979872489455
2100,154804131.53200403,0.16395050659974686,153950071.94064665,-0.59981802527642
2160,155262846.7208648,0.07080856942252467,150994219.66732192,-0.792559772807067
2220,155794334.32427984,-0.013017334214907805,147355521.06757554,-0.9935835820941179
2280,155209046.76801935,-0.055499959746550795,143088250.1192694,-1.0951101012948512
