TimeInterval,MSD_mean,Alpha_t
60,168601.09689437956,1.3373162708454742
120,572118.0422873177,1.6632504554393002
180,1113989.1906107329,1.9415433122744226
240,1765776.4760858729,1.6549888666513652
300,2473833.1509204963,1.39065543532314
360,3186464.457141653,1.36304014211224
420,3939788.515546491,1.3132991122650068
480,4686961.439349481,1.2736595992729605
540,5431308.949222689,1.2208067420171318
600,6172125.781564861,1.1628796156863785
660,6865721.674059618,1.0947102507107473
720,7531366.865089448,1.0083810302473637
780,8159891.054205111,0.9314748593527469
840,8682725.117882466,0.8555940697115574
900,9200085.099304494,0.7860377857589782
960,9685389.781374011,0.7547938463299886
1020,10089065.754310008,0.7290110548335917
1080,10521209.47080251,0.6627700483352044
1140,10922185.504047612,0.5688955453370568
1200,11210074.305591375,0.44612259329772996
1260,11372794.265687017,0.31711686630561076
1320,11540774.912769346,0.2530431852558195
1380,11655978.001140958,0.24903048408887685
1440,11767416.908167666,0.23168926148176183
1500,11912155.819713913,0.22965049635203627
1560,11997792.860326512,0.20935056814991526
1620,12055961.626177566,0.11543094525512743
1680,12176615.936652854,0.039581250336937046
1740,12097748.88514282,0.011931506601456476
