Time,Real_MSD,Real_Alpha,Fit_MSD,Fit_Alpha
60,168601.09689437956,1.3373162708454742,69143.32532839054,1.540229105816993
120,572118.0422873177,1.6632504554393002,281576.0927554664,1.92396656799216
180,1113989.1906107329,1.9415433122744226,635983.3936226123,2.263447809782786
240,1765776.4760858729,1.6549888666513652,1084851.0678760554,1.9483224140727984
300,2473833.1509204963,1.39065543532314,1526598.452048179,1.6832419801293454
360,3186464.457141653,1.36304014211224,2125700.9551795027,1.7624452987732866
420,3939788.515546491,1.3132991122650068,2911007.9789397325,1.794287298879233
480,4686961.439349481,1.2736595992729605,3687502.2314139465,1.6845039591078859
540,5431308.949222689,1.2208067420171318,4408489.393094388,1.5345542316448757
600,6172125.781564861,1.1628796156863785,5049709.771845529,1.4973356803241131
660,6865721.674059618,1.0947102507107473,5904301.982537052,1.5033550930638029
720,7531366.865089448,1.0083810302473637,6846057.5310439095,1.4123525925545124
780,8159891.054205111,0.9314748593527469,7577797.963976452,1.1964517891464084
840,8682725.117882466,0.8555940697115574,8135821.062038661,1.0073810228376203
900,9200085.099304494,0.7860377857589782,8600471.469902812,0.9541617721393862
960,9685389.781374011,0.7547938463299886,9253186.67521428,0.937275980340047
1020,10089065.754310008,0.7290110548335917,9861464.134950176,0.84547681835258
1080,10521209.47080251,0.6627700483352044,10248307.436669352,0.6882928485115372
1140,10922185.504047612,0.5688955453370568,10531993.551528271,0.5771863248901639
1200,11210074.305591376,0.44612259329772996,10815973.753866624,0.5467783592898741
1260,11372794.265687017,0.31711686630561076,11204228.760617489,0.5057400136057879
1320,11540774.912769346,0.2530431852558195,11465359.164849445,0.4430007634099695
1380,11655978.001140958,0.24903048408887685,11608545.525097394,0.4347419564038262
1440,11767416.908167666,0.23168926148176183,11791828.169575527,0.5440671587467989
1500,11912155.819713913,0.22965049635203627,12147945.027410874,0.7258231126335204
1560,11997792.860326512,0.19863325897554773,12595203.772345059,0.8508684552441821
1620,12055961.626177566,0.12224613665364359,13013807.333955409,0.9438922022349061
1680,12176615.936652854,0.06276452702275037,13454682.248005979,1.0636121608931717
1740,12097748.88514282,0.032442486396854785,13988818.548463851,1.1238829645527735
